[2024-03-20 12:22:31] Info: renaming SEQ00685.sam.bz2 to SEQ00685_S19.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00686.sam.bz2 to SEQ00686_S16.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00687.sam.bz2 to SEQ00687_S53.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00688.sam.bz2 to SEQ00688_S59.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00689.sam.bz2 to SEQ00689_S54.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00690.sam.bz2 to SEQ00690_S48.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00691.sam.bz2 to SEQ00691_S13.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00692.sam.bz2 to SEQ00692_S52.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00693.sam.bz2 to SEQ00693_S57.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00694.sam.bz2 to SEQ00694_S58.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00695.sam.bz2 to SEQ00695_S4.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00696.sam.bz2 to SEQ00696_S5.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00697.sam.bz2 to SEQ00697_S46.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00698.sam.bz2 to SEQ00698_S39.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ00699.sam.bz2 to SEQ00699_S56.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03151.sam.bz2 to SEQ03151_S20.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03152.sam.bz2 to SEQ03152_S22.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03153.sam.bz2 to SEQ03153_S25.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03154.sam.bz2 to SEQ03154_S17.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03155.sam.bz2 to SEQ03155_S40.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03156.sam.bz2 to SEQ03156_S39.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03157.sam.bz2 to SEQ03157_S5.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03158.sam.bz2 to SEQ03158_S4.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03159.sam.bz2 to SEQ03159_S32.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03160.sam.bz2 to SEQ03160_S6.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03161.sam.bz2 to SEQ03161_S8.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03162.sam.bz2 to SEQ03162_S34.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03163.sam.bz2 to SEQ03163_S31.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03164.sam.bz2 to SEQ03164_S36.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03165.sam.bz2 to SEQ03165_S18.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03166.sam.bz2 to SEQ03166_S19.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03167.sam.bz2 to SEQ03167_S9.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03168.sam.bz2 to SEQ03168_S42.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03169.sam.bz2 to SEQ03169_S26.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03170.sam.bz2 to SEQ03170_S37.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03171.sam.bz2 to SEQ03171_S16.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03172.sam.bz2 to SEQ03172_S10.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03173.sam.bz2 to SEQ03173_S43.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03174.sam.bz2 to SEQ03174_S11.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03175.sam.bz2 to SEQ03175_S35.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03176.sam.bz2 to SEQ03176_S21.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03177.sam.bz2 to SEQ03177_S41.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03178.sam.bz2 to SEQ03178_S12.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03179.sam.bz2 to SEQ03179_S2.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03180.sam.bz2 to SEQ03180_S27.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03181.sam.bz2 to SEQ03181_S3.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03182.sam.bz2 to SEQ03182_S15.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03183.sam.bz2 to SEQ03183_S33.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03184.sam.bz2 to SEQ03184_S14.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03185.sam.bz2 to SEQ03185_S44.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03186.sam.bz2 to SEQ03186_S29.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03187.sam.bz2 to SEQ03187_S24.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03188.sam.bz2 to SEQ03188_S23.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03189.sam.bz2 to SEQ03189_S30.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03190.sam.bz2 to SEQ03190_S38.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03191.sam.bz2 to SEQ03191_S7.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03192.sam.bz2 to SEQ03192_S28.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03193.sam.bz2 to SEQ03193_S1.sam.bz2
[2024-03-20 12:22:31] Info: renaming SEQ03194.sam.bz2 to SEQ03194_S13.sam.bz2
[2024-03-20 12:38:32] Info: Ambiguous S_well: 0
[2024-03-20 12:38:32] Info: Bad suffix: 0
[2024-03-20 12:38:32] Info: Bad UID: 1352
[2024-03-20 16:47:14] Warn: SEQ00105 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00107 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00115 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00116 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00117 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00128 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00135 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00136 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00140 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00141 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00144 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00147 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00149 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00156 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00159 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00165 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00166 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00167 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00168 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00169 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00171 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00174 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00176 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00177 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00178 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00181 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00185 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00186 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00188 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00190 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00195 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00198 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00199 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00202 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00204 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00206 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00208 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00210 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00211 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00213 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00214 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00215 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00217 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00219 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00222 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00223 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00226 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00227 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00234 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00235 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00237 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00238 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00239 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00240 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00244 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00249 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00250 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00251 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00252 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00253 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00256 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00262 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00264 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00268 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00271 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00273 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00274 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00275 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00277 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00278 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00279 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00281 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00286 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00289 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00302 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00304 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00306 humann is `true` on remote, but missing locally
[2024-03-20 16:47:14] Warn: SEQ00307 humann is `true` on remote, but missing locally
